case,case_name,candidate,total_motion,inner_leap_count,inner_leap_excess,step,symbol,S,A,T,B,S_midi,A_midi,T_midi,B_midi
1,C長調: 基本三和音カデンツ (I-IV-V-I 密集位置 C5),1,39,0,0,1,I,C5,G4,E4,C3,72,67,64,48
1,C長調: 基本三和音カデンツ (I-IV-V-I 密集位置 C5),1,39,0,0,2,IV,C5,A4,F4,F3,72,69,65,53
1,C長調: 基本三和音カデンツ (I-IV-V-I 密集位置 C5),1,39,0,0,3,V,B4,G4,D4,G3,71,67,62,55
1,C長調: 基本三和音カデンツ (I-IV-V-I 密集位置 C5),1,39,0,0,4,I,C5,G4,E4,C4,72,67,64,60
2,C長調: 基本三和音カデンツ (I-IV-V-I 密集位置 E5),1,43,0,0,1,I,E5,C5,G4,C3,76,72,67,48
2,C長調: 基本三和音カデンツ (I-IV-V-I 密集位置 E5),1,43,0,0,2,IV,A5,C5,F4,F3,81,72,65,53
2,C長調: 基本三和音カデンツ (I-IV-V-I 密集位置 E5),1,43,0,0,3,V,G5,B4,D4,G3,79,71,62,55
2,C長調: 基本三和音カデンツ (I-IV-V-I 密集位置 E5),1,43,0,0,4,I,G5,C5,E4,C4,79,72,64,60
3,C長調: 基本三和音カデンツ (I-IV-V-I 密集位置 G5),1,39,0,0,1,I,G5,C5,E4,C3,79,72,64,48
3,C長調: 基本三和音カデンツ (I-IV-V-I 密集位置 G5),1,39,0,0,2,IV,A5,C5,F4,F3,81,72,65,53
3,C長調: 基本三和音カデンツ (I-IV-V-I 密集位置 G5),1,39,0,0,3,V,G5,B4,D4,G3,79,71,62,55
3,C長調: 基本三和音カデンツ (I-IV-V-I 密集位置 G5),1,39,0,0,4,I,G5,C5,E4,C4,79,72,64,60
4,C長調: 開離位置カデンツ (I-V-I 開離位置 C5),1,18,0,0,1,I,C5,E4,G3,C3,72,64,55,48
4,C長調: 開離位置カデンツ (I-V-I 開離位置 C5),1,18,0,0,2,V,B4,D4,G3,G2,71,62,55,43
4,C長調: 開離位置カデンツ (I-V-I 開離位置 C5),1,18,0,0,3,I,C5,E4,G3,C2,72,64,55,36
5,C長調: I6を含むスムーズな連結 (I6-V-I),1,14,0,0,1,I6,C5,G4,C4,E3,72,67,60,52
5,C長調: I6を含むスムーズな連結 (I6-V-I),1,14,0,0,2,V,B4,G4,D4,G3,71,67,62,55
5,C長調: I6を含むスムーズな連結 (I6-V-I),1,14,0,0,3,I,C5,G4,E4,C4,72,67,64,60
6,C長調: IV6を含む進行 (I-IV6-V-I),1,24,0,0,1,I,C5,G4,E4,C3,72,67,64,48
6,C長調: IV6を含む進行 (I-IV6-V-I),1,24,0,0,2,IV6,C5,F4,C4,A2,72,65,60,45
6,C長調: IV6を含む進行 (I-IV6-V-I),1,24,0,0,3,V,B4,G4,D4,G2,71,67,62,43
6,C長調: IV6を含む進行 (I-IV6-V-I),1,24,0,0,4,I,C5,G4,E4,C3,72,67,64,48
7,C長調: 終止的四六 K2 (I-II6-I64-V7-I),1,26,0,0,1,I,C5,G4,E4,C3,72,67,64,48
7,C長調: 終止的四六 K2 (I-II6-I64-V7-I),1,26,0,0,2,II6,D5,A4,F4,F3,74,69,65,53
7,C長調: 終止的四六 K2 (I-II6-I64-V7-I),1,26,0,0,3,I64,C5,G4,E4,G3,72,67,64,55
7,C長調: 終止的四六 K2 (I-II6-I64-V7-I),1,26,0,0,4,V7,B4,G4,F4,G3,71,67,65,55
7,C長調: 終止的四六 K2 (I-II6-I64-V7-I),1,26,0,0,5,I,C5,G4,E4,C4,72,67,64,60
8,C長調: 経過的四六 Passing 6/4 (I-V64-I6),1,10,0,0,1,I,C5,G4,E4,C3,72,67,64,48
8,C長調: 経過的四六 Passing 6/4 (I-V64-I6),1,10,0,0,2,V64,B4,G4,D4,D3,71,67,62,50
8,C長調: 経過的四六 Passing 6/4 (I-V64-I6),1,10,0,0,3,I6,C5,G4,C4,E3,72,67,60,52
9,C長調: 刺繍的・保続的四六 Pedal 6/4 (I-IV64-I),1,6,0,0,1,I,C5,G4,E4,C3,72,67,64,48
9,C長調: 刺繍的・保続的四六 Pedal 6/4 (I-IV64-I),1,6,0,0,2,IV64,C5,A4,F4,C3,72,69,65,48
9,C長調: 刺繍的・保続的四六 Pedal 6/4 (I-IV64-I),1,6,0,0,3,I,C5,G4,E4,C3,72,67,64,48
10,C長調: IIの第1転回形と属七 (I-II6-V7-I),1,24,0,0,1,I,C5,G4,E4,C3,72,67,64,48
10,C長調: IIの第1転回形と属七 (I-II6-V7-I),1,24,0,0,2,II6,D5,A4,F4,F3,74,69,65,53
10,C長調: IIの第1転回形と属七 (I-II6-V7-I),1,24,0,0,3,V7,B4,G4,F4,G3,71,67,65,55
10,C長調: IIの第1転回形と属七 (I-II6-V7-I),1,24,0,0,4,I,C5,G4,E4,C4,72,67,64,60
11,C長調: 偽終止 V7->VI (I-IV-V7-VI),1,43,0,0,1,I,E5,C5,G4,C3,76,72,67,48
11,C長調: 偽終止 V7->VI (I-IV-V7-VI),1,43,0,0,2,IV,A5,C5,F4,F3,81,72,65,53
11,C長調: 偽終止 V7->VI (I-IV-V7-VI),1,43,0,0,3,V7,F5,B4,D4,G3,77,71,62,55
11,C長調: 偽終止 V7->VI (I-IV-V7-VI),1,43,0,0,4,VI,E5,C5,C4,A3,76,72,60,57
12,C長調: 偽終止からの拡張カデンツ (I-IV-V-VI-II6-V7-I),1,65,0,0,1,I,C5,G4,E4,C3,72,67,64,48
12,C長調: 偽終止からの拡張カデンツ (I-IV-V-VI-II6-V7-I),1,65,0,0,2,IV,C5,A4,F4,F3,72,69,65,53
12,C長調: 偽終止からの拡張カデンツ (I-IV-V-VI-II6-V7-I),1,65,0,0,3,V,B4,G4,D4,G3,71,67,62,55
12,C長調: 偽終止からの拡張カデンツ (I-IV-V-VI-II6-V7-I),1,65,0,0,4,VI,C5,E4,C4,A3,72,64,60,57
12,C長調: 偽終止からの拡張カデンツ (I-IV-V-VI-II6-V7-I),1,65,0,0,5,II6,A4,F4,D4,F3,69,65,62,53
12,C長調: 偽終止からの拡張カデンツ (I-IV-V-VI-II6-V7-I),1,65,0,0,6,V7,G4,F4,B3,G3,67,65,59,55
12,C長調: 偽終止からの拡張カデンツ (I-IV-V-VI-II6-V7-I),1,65,0,0,7,I,G4,E4,C4,C3,67,64,60,48
13,C長調: 属七第1転回形 V56 (I-II-V56-I),1,18,0,0,1,I,C5,G4,E4,C3,72,67,64,48
13,C長調: 属七第1転回形 V56 (I-II-V56-I),1,18,0,0,2,II,A4,F4,D4,D3,69,65,62,50
13,C長調: 属七第1転回形 V56 (I-II-V56-I),1,18,0,0,3,V56,G4,F4,D4,B2,67,65,62,47
13,C長調: 属七第1転回形 V56 (I-II-V56-I),1,18,0,0,4,I,G4,E4,C4,C3,67,64,60,48
14,C長調: 属七第2転回形 V34 (I-V34-I6),1,8,0,0,1,I,C5,G4,E4,C3,72,67,64,48
14,C長調: 属七第2転回形 V34 (I-V34-I6),1,8,0,0,2,V34,B4,G4,F4,D3,71,67,65,50
14,C長調: 属七第2転回形 V34 (I-V34-I6),1,8,0,0,3,I6,C5,G4,E4,E3,72,67,64,52
15,C長調: 属七第3転回形 V2のI6解決 (I-IV-V2-I6-V7-I),1,51,0,0,1,I,C5,G4,E4,C3,72,67,64,48
15,C長調: 属七第3転回形 V2のI6解決 (I-IV-V2-I6-V7-I),1,51,0,0,2,IV,C5,A4,F4,F3,72,69,65,53
15,C長調: 属七第3転回形 V2のI6解決 (I-IV-V2-I6-V7-I),1,51,0,0,3,V2,B4,G4,D4,F3,71,67,62,53
15,C長調: 属七第3転回形 V2のI6解決 (I-IV-V2-I6-V7-I),1,51,0,0,4,I6,C5,G4,C4,E3,72,67,60,52
15,C長調: 属七第3転回形 V2のI6解決 (I-IV-V2-I6-V7-I),1,51,0,0,5,V7,F5,G4,B3,G3,77,67,59,55
15,C長調: 属七第3転回形 V2のI6解決 (I-IV-V2-I6-V7-I),1,51,0,0,6,I,E5,G4,C4,C3,76,67,60,48
16,C長調: 属九の基本形 (I-V9-I),1,30,1,4,1,I,E5,C5,G4,C3,76,72,67,48
16,C長調: 属九の基本形 (I-V9-I),1,30,1,4,2,V9,F5,A4,B3,G3,77,69,59,55
16,C長調: 属九の基本形 (I-V9-I),1,30,1,4,3,I,E5,G4,C4,C3,76,67,60,48
17,C長調: 根音省略属七 -V7 (I-IV-VII-I),1,49,0,0,1,I,C5,G4,E4,C3,72,67,64,48
17,C長調: 根音省略属七 -V7 (I-IV-VII-I),1,49,0,0,2,IV,C5,A4,F4,F3,72,69,65,53
17,C長調: 根音省略属七 -V7 (I-IV-VII-I),1,49,0,0,3,VII,D5,F4,D4,B2,74,65,62,47
17,C長調: 根音省略属七 -V7 (I-IV-VII-I),1,49,0,0,4,I,G4,E4,C4,C3,67,64,60,48
18,C長調: 根音省略属九 -V9 (I-II6-VII7-I),1,22,0,0,1,I,C5,G4,E4,C3,72,67,64,48
18,C長調: 根音省略属九 -V9 (I-II6-VII7-I),1,22,0,0,2,II6,D5,A4,F4,F3,74,69,65,53
18,C長調: 根音省略属九 -V9 (I-II6-VII7-I),1,22,0,0,3,VII7,D5,A4,F4,B2,74,69,65,47
18,C長調: 根音省略属九 -V9 (I-II6-VII7-I),1,22,0,0,4,I,C5,G4,E4,C3,72,67,64,48
19,イ短調: 基本カデンツ (I-IV-V-I),1,37,0,0,1,I,A4,E4,C4,A2,69,64,60,45
19,イ短調: 基本カデンツ (I-IV-V-I),1,37,0,0,2,IV,A4,F4,D4,D3,69,65,62,50
19,イ短調: 基本カデンツ (I-IV-V-I),1,37,0,0,3,V,G#4,E4,B3,E3,68,64,59,52
